State,Year,Per_Capita_Personal_Consumption
Vermont,2002,28064
Virginia,2002,26744
Washington,2002,26895
West Virginia,2002,21000
Wisconsin,2002,24937
Wyoming,2002,24616
Alabama,2003,22673
Alaska,2003,31704
Arizona,2003,25926
Arkansas,2003,21208
California,2003,27670
Colorado,2003,29233
Connecticut,2003,33023
Delaware,2003,30820
Florida,2003,27874
Georgia,2003,25126
Hawaii,2003,27809
Idaho,2003,22151
Illinois,2003,27533
Indiana,2003,24145
Iowa,2003,23980
Kansas,2003,25168
Kentucky,2003,22889
Louisiana,2003,22027
Maine,2003,27957
Maryland,2003,29591
Massachusetts,2003,33795
Michigan,2003,25387
Minnesota,2003,30127
Mississippi,2003,20163
Missouri,2003,26336
Montana,2003,24797
Nebraska,2003,25241
Nevada,2003,27384
New Hampshire,2003,32139
New Jersey,2003,32338
New Mexico,2003,22292
New York,2003,27657
North Carolina,2003,24167
North Dakota,2003,25103
Ohio,2003,25607
Oklahoma,2003,21807
Oregon,2003,25816
Pennsylvania,2003,28267
Rhode Island,2003,27981
South Carolina,2003,23526
South Dakota,2003,23503
Tennessee,2003,24018
Texas,2003,24570
Utah,2003,22025
Vermont,2003,29590
Virginia,2003,28112
Washington,2003,28174
West Virginia,2003,21847
Wisconsin,2003,26184
Wyoming,2003,26018
Alabama,2004,23932
Alaska,2004,33138
Arizona,2004,27487
Arkansas,2004,22293
California,2004,29284
Colorado,2004,30702
Connecticut,2004,34916
Delaware,2004,32468
Florida,2004,29483
Georgia,2004,26254
Hawaii,2004,29259
Idaho,2004,23293
Illinois,2004,28884
Indiana,2004,25580
Iowa,2004,25369
Kansas,2004,26534
Kentucky,2004,24086
Louisiana,2004,23127
Maine,2004,29456
Maryland,2004,31273
Massachusetts,2004,35818
Michigan,2004,26479
Minnesota,2004,31699
Mississippi,2004,21252
Missouri,2004,27392
Montana,2004,26293
Nebraska,2004,26816
Nevada,2004,29017
New Hampshire,2004,33900
New Jersey,2004,34080
New Mexico,2004,23533
New York,2004,29350
North Carolina,2004,25399
North Dakota,2004,26461
Ohio,2004,26680
Oklahoma,2004,22845
Oregon,2004,27456
Pennsylvania,2004,29739
Rhode Island,2004,29375
South Carolina,2004,24904
South Dakota,2004,24997
Tennessee,2004,25215
Texas,2004,25690
Utah,2004,23398
Vermont,2004,31301
Virginia,2004,29888
Washington,2004,29696
West Virginia,2004,23097
Wisconsin,2004,27585
Wyoming,2004,27757
Alabama,2005,25303
Alaska,2005,35017
Arizona,2005,29116
Arkansas,2005,23574
California,2005,31119
Colorado,2005,32131
Connecticut,2005,36902
Delaware,2005,34191
Florida,2005,31222
Georgia,2005,27684
Hawaii,2005,31273
Idaho,2005,24687
Illinois,2005,30453
Indiana,2005,26874
Iowa,2005,26625
Kansas,2005,27885
Kentucky,2005,25299
Louisiana,2005,24059
Maine,2005,30997
Maryland,2005,33194
Massachusetts,2005,37797
Michigan,2005,27539
Minnesota,2005,32806
Mississippi,2005,22374
Missouri,2005,28594
Montana,2005,27928
Nebraska,2005,28226
Nevada,2005,30786
New Hampshire,2005,35741
New Jersey,2005,35947
New Mexico,2005,25022
New York,2005,31331
North Carolina,2005,26822
North Dakota,2005,28053
Ohio,2005,27894
Oklahoma,2005,24387
Oregon,2005,28979
Pennsylvania,2005,31201
Rhode Island,2005,31105
South Carolina,2005,26362
South Dakota,2005,26610
Tennessee,2005,26499
Texas,2005,27215
Utah,2005,24734
Vermont,2005,33059
Virginia,2005,31765
Washington,2005,31270
West Virginia,2005,24258
Wisconsin,2005,28907
Wyoming,2005,29663
Alabama,2006,26245
Alaska,2006,35947
Arizona,2006,30529
Arkansas,2006,24523
California,2006,32926
Colorado,2006,33483
Connecticut,2006,38715
Delaware,2006,35312
Florida,2006,33085
Georgia,2006,28615
Hawaii,2006,33048
Idaho,2006,26100
Illinois,2006,31912
Indiana,2006,27752
Iowa,2006,27856
Kansas,2006,29408
Kentucky,2006,26382
Louisiana,2006,27026
Maine,2006,32245
