State,Year,Per_Capita_Personal_Consumption
Maryland,2022,53010
Massachusetts,2022,64989
Michigan,2022,49829
Minnesota,2022,53529
Mississippi,2022,40165
Missouri,2022,49052
Montana,2022,52568
Nebraska,2022,49850
Nevada,2022,51288
New Hampshire,2022,62253
New Jersey,2022,60356
New Mexico,2022,43787
New York,2022,59199
North Carolina,2022,48413
North Dakota,2022,53141
Ohio,2022,48117
Oklahoma,2022,42352
Oregon,2022,52515
Pennsylvania,2022,54171
Rhode Island,2022,52637
South Carolina,2022,46831
South Dakota,2022,49698
Tennessee,2022,46756
Texas,2022,49668
Utah,2022,48559
Vermont,2022,55672
Virginia,2022,52461
Washington,2022,57104
West Virginia,2022,44977
Wisconsin,2022,49930
Wyoming,2022,53869
Alabama,2023,44529
Alaska,2023,62900
Arizona,2023,53921
Arkansas,2023,44254
California,2023,64835
Colorado,2023,63781
Connecticut,2023,65128
Delaware,2023,57672
Florida,2023,60204
Georgia,2023,50282
Hawaii,2023,58115
Idaho,2023,46270
Illinois,2023,58333
Indiana,2023,49527
Iowa,2023,47833
Kansas,2023,49348
Kentucky,2023,47272
Louisiana,2023,48425
Maine,2023,60250
Maryland,2023,56052
Massachusetts,2023,69101
Michigan,2023,52210
Minnesota,2023,56489
Mississippi,2023,42131
Missouri,2023,52097
Montana,2023,55264
Nebraska,2023,52177
Nevada,2023,54054
New Hampshire,2023,65908
New Jersey,2023,63814
New Mexico,2023,46076
New York,2023,63775
North Carolina,2023,51081
North Dakota,2023,55780
Ohio,2023,50583
Oklahoma,2023,44398
Oregon,2023,55412
Pennsylvania,2023,57009
Rhode Island,2023,55967
South Carolina,2023,49252
South Dakota,2023,52133
Tennessee,2023,49326
Texas,2023,52299
Utah,2023,51027
Vermont,2023,58958
Virginia,2023,55776
Washington,2023,60528
West Virginia,2023,47589
Wisconsin,2023,52593
Wyoming,2023,56941
