Year,State,Percent_Born_Mexico
2010,Alabama,0.002928288133366973
2010,Alaska,0.005642450907060153
2010,Arizona,0.0068835067336704015
2010,Arkansas,0.009955846170341048
2010,California,0.02767671953902704
2010,Colorado,0.007980256436332593
2010,Connecticut,0.022251445850443776
2010,Delaware,0.00737565217785988
2010,Florida,0.04217891248848021
2010,Georgia,0.0027986606560588627
2010,Hawaii,0.0017996522172090243
2010,Idaho,0.0032093330023572225
2010,Illinois,0.009838875468317528
2010,Indiana,0.0024308917726467956
2010,Iowa,0.0022212887652187287
2010,Kansas,0.006407223931408532
2010,Kentucky,0.002589931280490024
2010,Louisiana,0.003679508074601462
2010,Maine,0.0027115273807775306
2010,Maryland,0.10097564734922249
2010,Massachusetts,0.02152199071929766
2010,Michigan,0.0028836433819329392
2010,Minnesota,0.0028997041920184115
2010,Mississippi,0.008089759621970291
2010,Missouri,0.008425760606411616
2010,Montana,0.0017458477066236435
2010,Nebraska,0.0013339817967067324
2010,Nevada,0.009835451752931932
2010,New Hampshire,0.007458489321041539
2010,New Jersey,0.03875445919929389
2010,New Mexico,0.008096876393979102
2010,New York,0.031097644941026802
2010,North Carolina,0.004713532627676872
2010,North Dakota,0.0034816373336951454
2010,Ohio,0.0022497420397134195
2010,Oklahoma,0.003183379818841201
2010,Oregon,0.0061138911594462945
2010,Pennsylvania,0.004210040590024107
2010,Rhode Island,0.12769917142264828
2010,South Carolina,0.005408487068839401
2010,South Dakota,0.00813046773955485
2010,Tennessee,0.005260652500542104
2010,Texas,0.01402194506383728
2010,Utah,0.012004955525214921
2010,Vermont,0.003043613377802127
2010,Virginia,0.3575348066261706
2010,Washington,0.003596849830147911
2010,West Virginia,0.009017808542146304
2010,Wisconsin,0.0034764427547829026
2010,Wyoming,0.0049488708326383525
2011,Alabama,0.00501324507775164
2011,Alaska,0.0049949836093180705
2011,Arizona,0.0062802047472982885
2011,Arkansas,0.008667342558240398
2011,California,0.02720643129956829
2011,Colorado,0.009726018266791326
2011,Delaware,0.008306617455570821
2011,Connecticut,0.023691940693142434
2011,Florida,0.04483972127243999
2011,Georgia,0.003041472772777402
2011,Idaho,0.0067097336945406635
2011,Hawaii,0.0011882182222176013
2011,Illinois,0.01155573861263272
2011,Indiana,0.003253668045912045
2011,Iowa,0.002902120064664512
2011,Kansas,0.0038502500013246274
2011,Kentucky,0.0003938795747954143
2011,Louisiana,0.004370516318526797
2011,Maine,0.0013548677009325254
2011,Maryland,0.1045228443252864
2011,Massachusetts,0.021129484583384456
2011,Michigan,0.0023385632814719964
2011,Minnesota,0.0025008573014612965
2011,Mississippi,0.011228734738052557
2011,Missouri,0.006162058443178601
2011,Montana,0.00514935455647875
2011,Nebraska,0.0041366506697788985
2011,Nevada,0.01204460543817676
2011,New Hampshire,0.0050155367650243825
2011,New Jersey,0.03290276410637464
2011,New Mexico,0.009032288467731167
2011,New York,0.030742214666243366
2011,North Carolina,0.005871276145758836
2011,North Dakota,0.0039377606639675895
2011,Ohio,0.002004245182176343
2011,Oklahoma,0.00242292409248032
2011,Oregon,0.007969508607463826
2011,Pennsylvania,0.004233560142105449
2011,Rhode Island,0.13824067160107747
2011,South Carolina,0.006862092055183458
2011,South Dakota,0.008542807513213495
2011,Tennessee,0.004890448398544869
2011,Texas,0.013675524448087843
2011,Vermont,0.010560709679690475
2011,Utah,0.016940544947869157
2011,Virginia,0.3422072036609762
2011,Washington,0.0027356717314171606
2011,West Virginia,0.006445071740689309
2011,Wisconsin,0.0036364323209635203
2011,Wyoming,0.0027041790382857666
2012,Alabama,0.023967382590177017
2012,Alaska,0.03135814517274401
2012,Arizona,0.03620351899452486
2012,Arkansas,0.022493701077914614
2012,California,0.0840936177262959
2012,Colorado,0.04511335150955223
2012,Delaware,0.053214476559523
2012,Connecticut,0.4208315685542827
2012,Florida,0.3580484816855062
2012,Georgia,0.10666453653270669
2012,Idaho,0.0250669248623711
2012,Hawaii,0.09745143939004791
2012,Illinois,0.039247153353202544
2012,Indiana,0.02067679896631424
2012,Iowa,0.01611079502015654
2012,Kansas,0.02539296846256449
2012,Kentucky,0.015414153418520532
2012,Louisiana,0.04918751193536743
2012,Maine,0.02249669697325376
2012,Maryland,0.1446029865027994
2012,Massachusetts,0.9662538230145284
2012,Michigan,0.030766078382874297
2012,Minnesota,0.03453739929807206
2012,Mississippi,0.005593708089310626
2012,Missouri,0.02410398613402318
2012,Montana,0.010395797271860192
2012,Nebraska,0.019263330826911312
2012,Nevada,0.05580200310331617
2012,New Hampshire,0.1515020410269956
2012,New Jersey,0.3470251156257619
2012,New Mexico,0.019510657149098883
2012,New York,0.13012597867061895
2012,North Carolina,0.050606391346244214
2012,North Dakota,0.01301288127372448
2012,Ohio,0.020583408714793288
2012,Oklahoma,0.016644416318463164
2012,Oregon,0.03531747148798372
2012,Pennsylvania,0.06272643941469287
2012,Rhode Island,0.16142962608945993
2012,South Carolina,0.06319175371370335
2012,South Dakota,0.015933891509809762
2012,Tennessee,0.01800660011150241
2012,Texas,0.0514857909094555
2012,Vermont,0.03884904508087955
2012,Utah,0.10711317520975276
2012,Virginia,0.06431726690917167
2012,Washington,0.04813974891945258
2012,West Virginia,0.008862560599109096
2012,Wisconsin,0.017477786594819016
2012,Wyoming,0.019900391433592218
2013,Alabama,0.0012501883096141357
2013,Alaska,0.004026010806368316
2013,Arizona,0.008241118458670097
2013,Arkansas,0.010772596287749682
2013,California,0.025024442246898572
2013,Colorado,0.008946484978793119
2013,Delaware,0.0013209370727594156
2013,Connecticut,0.016436165032491425
