state,year,nominal_gdp,real_gdp
Nebraska,2000,56582.7,80268.2
Nevada,2000,77181.5,114810.2
New Hampshire,2000,45604.9,60742.5
New Jersey,2000,360530.4,503901.5
New Mexico,2000,55002.2,72733.8
New York,2000,839853,1217036.4
North Carolina,2000,277556.1,384115.3
North Dakota,2000,18115.1,24990.2
Ohio,2000,391032.3,541005.9
Oklahoma,2000,91645.7,121170.2
Oregon,2000,117057.2,145094.2
Pennsylvania,2000,409330.2,566250.9
Rhode Island,2000,34608.5,49113.6
South Carolina,2000,115332.7,161880.2
South Dakota,2000,22866.7,32124.9
Tennessee,2000,182209.7,251030.2
Texas,2000,742161.5,989904.9
Utah,2000,70056.3,98648.5
Vermont,2000,18492.9,24844.6
Virginia,2000,268608.7,372914.1
Washington,2000,237594,325857.6
West Virginia,2000,42620.7,63364.6
Wisconsin,2000,180883.1,248572
Wyoming,2000,17153.7,26614.2
Alabama,2001,123534.5,168448.3
Alaska,2001,28660.9,40014.4
Arizona,2001,172899.6,230885.6
Arkansas,2001,71099.6,95528.7
California,2001,1373270.8,1784567.7
Colorado,2001,185848.9,242650.1
Connecticut,2001,171124.4,236338.1
Delaware,2001,46373.8,65724.8
Florida,2001,519140.7,714638
Georgia,2001,316872.7,422731.6
Hawaii,2001,42500.2,60446.4
Idaho,2001,37740.9,48695.4
Illinois,2001,499618.4,688404.3
Indiana,2001,205325.1,273884.4
Iowa,2001,94922.6,128077.5
Kansas,2001,88869.7,119474.1
Kentucky,2001,117767.9,161316.4
Louisiana,2001,138204.3,210534.7
Maine,2001,38925.7,54066.2
Maryland,2001,205276,281053.6
Massachusetts,2001,294876.4,388180.8
Michigan,2001,349127.5,453301.5
Minnesota,2001,196869.4,263518.7
Mississippi,2001,67750.2,93515.5
Missouri,2001,190388.7,260381.1
Montana,2001,22798,32689.6
Nebraska,2001,59634.3,82268.1
Nevada,2001,80968.6,116267.3
New Hampshire,2001,47037.3,61719.4
New Jersey,2001,372819.2,509631.5
New Mexico,2001,55660.2,72996.4
New York,2001,876285.2,1240755.2
North Carolina,2001,287317.1,387433.9
North Dakota,2001,18976.9,25329.8
Ohio,2001,395864.2,534612.4
Oklahoma,2001,97505.3,125695.7
Oregon,2001,117002.4,144486.5
Pennsylvania,2001,428463.7,577677.5
Rhode Island,2001,35940.1,49705.2
South Carolina,2001,119355.2,162837.1
South Dakota,2001,23626.9,32396.9
Tennessee,2001,185917.2,250311.4
Texas,2001,780206.2,1020517
Utah,2001,73042.5,100244.3
Vermont,2001,19467.1,25681.8
Virginia,2001,285663.4,386444.7
Washington,2001,237978.2,317860.6
West Virginia,2001,44105.1,63599.8
Wisconsin,2001,188662.8,252941.8
Wyoming,2001,18741.7,28338.1
Alabama,2002,128380.9,172430.4
Alaska,2002,29884.5,41904.7
Arizona,2002,180844.5,238257.1
Arkansas,2002,74453.1,98556.6
California,2002,1419321.8,1821509.5
Colorado,2002,189604.6,243701.9
Connecticut,2002,172929.7,234307.3
Delaware,2002,45865.4,63702.5
Florida,2002,553359.9,746252.8
Georgia,2002,326017.9,427329.7
Hawaii,2002,44949.5,62355.2
Idaho,2002,38990.7,49840.5
Illinois,2002,511485.9,692398.1
Indiana,2002,213419.6,280723
Iowa,2002,98669.4,131035.2
Kansas,2002,91359,121050.5
Kentucky,2002,122731.2,165435.3
Louisiana,2002,140082.8,214856.1
Maine,2002,40664.1,55406.5
Maryland,2002,217001.4,290400.3
Massachusetts,2002,299915.8,388451.6
Michigan,2002,363372.1,465788.4
Minnesota,2002,204061.1,268982.8
Mississippi,2002,69704.9,94561.5
Missouri,2002,197399,264997.7
Montana,2002,23886,33663.8
Nebraska,2002,61569.5,83433.2
Nevada,2002,85541,120180.1
New Hampshire,2002,49109.6,63474.2
New Jersey,2002,385045.6,517752.2
New Mexico,2002,57718.3,75345.9
New York,2002,885386.2,1228580.8
North Carolina,2002,297653,393685.9
North Dakota,2002,20195.6,26592.1
Ohio,2002,411191.1,546688.2
Oklahoma,2002,99916.9,127930.2
Oregon,2002,120556.1,147432.8
Pennsylvania,2002,440887.5,583507.4
Rhode Island,2002,37891.2,51284.3
South Carolina,2002,124765.2,167333
South Dakota,2002,26343.5,35776
Tennessee,2002,195386.1,258542.4
Texas,2002,796357.3,1042584.4
Utah,2002,76289.4,102828.1
Vermont,2002,20383.5,26522.8
Virginia,2002,294929.1,390242.4
Washington,2002,245629.8,321977.1
West Virginia,2002,45627.4,64465.7
Wisconsin,2002,195541.5,257966.9
Wyoming,2002,19160.8,28901.3
Alabama,2003,135212.6,178040
Alaska,2003,32115.8,41235
Arizona,2003,194318,253743.1
Arkansas,2003,79009.7,102948
California,2003,1498578,1895287.6
Colorado,2003,195137.6,246017.4
Connecticut,2003,177814.8,236719.1
Delaware,2003,47839.6,64316.8
Florida,2003,590284.8,781834.2
Georgia,2003,339540.5,439074.6
Hawaii,2003,48420.7,65623.7
Idaho,2003,40778.6,51542.6
Illinois,2003,528577,703548.8
Indiana,2003,225349.3,293045.2
Iowa,2003,105329.7,137476.9
Kansas,2003,95236.3,123486.7
Kentucky,2003,128289.6,170481.9
Louisiana,2003,155198.7,223576
Maine,2003,42493.4,56882.4
Maryland,2003,226803.4,297690.6
Massachusetts,2003,309736.1,397069.9
Michigan,2003,376123.8,477085.4
Minnesota,2003,215975.1,280796.9
Mississippi,2003,74418.4,98762.1
Missouri,2003,206005.2,271970.5
Montana,2003,25781.1,35249.5
Nebraska,2003,66471.7,88310.7
Nevada,2003,91365,125905.4
New Hampshire,2003,51609.7,66119.4
New Jersey,2003,399996.5,529815.9
New Mexico,2003,62867.9,78766.8
New York,2003,908535.2,1236563.1
North Carolina,2003,310200.3,404582.5
North Dakota,2003,22129.9,28326.7
Ohio,2003,425530.7,557024.5
Oklahoma,2003,106175.1,130147.8
Oregon,2003,126822.1,154445.3
Pennsylvania,2003,460478.3,598809.5
Rhode Island,2003,39787.1,52933.1
South Carolina,2003,131509.1,174270.8
South Dakota,2003,27305,36141.9
Tennessee,2003,204665.9,267589.4
Texas,2003,840860.8,1052132.3
Utah,2003,79504.7,104829.2
Vermont,2003,21398.5,27548.1
Virginia,2003,311093.1,404522.2
Washington,2003,254720.2,327645.2
West Virginia,2003,47230.4,65106.8
Wisconsin,2003,203814,265745.8
Wyoming,2003,21199,29806.6
Alabama,2004,148379.1,189913.7
Alaska,2004,35389.5,42880.1
Arizona,2004,207246.3,264990
Arkansas,2004,85928.6,108581.8
California,2004,1585081.4,1956745.5
Colorado,2004,203743.3,250069.3
Connecticut,2004,194722.9,252680.8
Delaware,2004,51674.1,67735.5
Florida,2004,647041.8,833946.8
Georgia,2004,364530.1,461245.4
Hawaii,2004,52625.7,69332
Idaho,2004,44732.9,55137.1
Illinois,2004,560079.8,726139
Indiana,2004,239278.5,303819.8
Iowa,2004,117149.8,149063.2
Kansas,2004,98913.7,124793.2
Kentucky,2004,135694.5,175344.6
Louisiana,2004,170999.6,234620.8
Maine,2004,45233.1,58934.8
Maryland,2004,243449.8,311504.8
Massachusetts,2004,324919,407886
Michigan,2004,388764.6,485082.7
Minnesota,2004,231949.4,293753.9
Mississippi,2004,78680.1,101369.5
Missouri,2004,216977.5,279128.2
Montana,2004,28138.8,36949.9
Nebraska,2004,70445.4,90607.6
Nevada,2004,104132,139373
New Hampshire,2004,54545.7,68428.1
New Jersey,2004,415490.8,536174
New Mexico,2004,70593.4,85751
New York,2004,958565.3,1269433.1
North Carolina,2004,329017.7,420579.4
North Dakota,2004,23209.6,28636.2
Ohio,2004,447813.3,572308.5
Oklahoma,2004,114237.5,134606.6
Oregon,2004,136495.9,163046.1
Pennsylvania,2004,486384.5,614957.1
Rhode Island,2004,42578.2,55160.5
South Carolina,2004,136679.9,177169.4
South Dakota,2004,29380.9,37616.6
Tennessee,2004,219862.4,281564.2
Texas,2004,921230.7,1111189.1
Utah,2004,86766.7,111318.9
Vermont,2004,22986.3,28989.2
Virginia,2004,331815.8,421744.4
Washington,2004,267423.9,335449.3
West Virginia,2004,49865.9,66077.6
Wisconsin,2004,216370.4,275412.4
Wyoming,2004,23418.1,30780.1
Alabama,2005,158677.3,197246.5
Alaska,2005,40459.9,44406.8
Arizona,2005,227997.8,283806.2
Arkansas,2005,91133.4,112451.1
California,2005,1698858.4,2042141
Colorado,2005,220803.8,261992.9
Connecticut,2005,204504.6,258203.7
Delaware,2005,52048.6,66381.2
Florida,2005,704890.3,883164.5
