State,Year,Per_Capita_Personal_Income
Massachusetts,2022,86200
Michigan,2022,58009
Minnesota,2022,69903
Mississippi,2022,47134
Missouri,2022,59007
Montana,2022,61567
Nebraska,2022,67065
Nevada,2022,62467
New Hampshire,2022,74827
New Jersey,2022,77744
New Mexico,2022,53079
New York,2022,77502
North Carolina,2022,58953
North Dakota,2022,71238
Ohio,2022,58391
Oklahoma,2022,58043
Oregon,2022,64107
Pennsylvania,2022,65401
Rhode Island,2022,64406
South Carolina,2022,54429
South Dakota,2022,69724
Tennessee,2022,59210
Texas,2022,62987
Utah,2022,60782
Vermont,2022,63624
Virginia,2022,69707
Washington,2022,75673
West Virginia,2022,50134
Wisconsin,2022,61992
Wyoming,2022,76440
Alabama,2023,54209
Alaska,2023,71611
Arizona,2023,62543
Arkansas,2023,57635
California,2023,81255
Colorado,2023,80068
Connecticut,2023,89945
Delaware,2023,66850
Florida,2023,68703
Georgia,2023,59882
Hawaii,2023,66175
Idaho,2023,59385
Illinois,2023,72245
Indiana,2023,61243
Iowa,2023,62779
Kansas,2023,66115
Kentucky,2023,55360
Louisiana,2023,58845
Maine,2023,65105
Maryland,2023,75391
Massachusetts,2023,90596
Michigan,2023,61144
Minnesota,2023,72557
Mississippi,2023,49652
Missouri,2023,62604
Montana,2023,64989
Nebraska,2023,71347
Nevada,2023,66238
New Hampshire,2023,78944
New Jersey,2023,82103
New Mexico,2023,55343
New York,2023,82323
North Carolina,2023,61839
North Dakota,2023,72041
Ohio,2023,61495
Oklahoma,2023,60545
Oregon,2023,67838
Pennsylvania,2023,68945
Rhode Island,2023,67562
South Carolina,2023,57332
South Dakota,2023,72466
Tennessee,2023,62229
Texas,2023,66252
Utah,2023,64175
Vermont,2023,66932
Virginia,2023,73841
Washington,2023,80930
West Virginia,2023,52826
Wisconsin,2023,64976
Wyoming,2023,82060
