state_name,spliced_formations_per_quarter,year
montana,15.25,2009
montana,15.375,2010
montana,16.5,2011
montana,16.0,2012
montana,16.125,2013
montana,17.375,2014
montana,17.875,2015
montana,17.125,2016
montana,17.5,2017
montana,19.625,2018
montana,18.625,2019
montana,18.5,2020
montana,24.375,2021
montana,24.875,2022
montana,25.125,2023
montana,27.125,2024
nebraska,28.625,2005
nebraska,26.75,2006
nebraska,24.375,2007
nebraska,21.125,2008
nebraska,20.625,2009
nebraska,20.0,2010
nebraska,20.75,2011
nebraska,21.25,2012
nebraska,20.25,2013
nebraska,20.875,2014
nebraska,22.375,2015
nebraska,22.375,2016
nebraska,21.625,2017
nebraska,21.875,2018
nebraska,21.875,2019
nebraska,20.375,2020
nebraska,25.875,2021
nebraska,26.5,2022
nebraska,26.875,2023
nebraska,26.25,2024
nevada,61.25,2005
nevada,55.625,2006
nevada,49.875,2007
nevada,40.375,2008
nevada,37.125,2009
nevada,39.25,2010
nevada,38.875,2011
nevada,40.125,2012
nevada,42.125,2013
nevada,41.75,2014
nevada,42.875,2015
nevada,40.0,2016
nevada,42.625,2017
nevada,45.5,2018
nevada,44.75,2019
nevada,46.75,2020
nevada,62.75,2021
nevada,58.125,2022
nevada,61.125,2023
nevada,58.5,2024
new jersey,154.75,2005
new jersey,143.5,2006
new jersey,127.75,2007
new jersey,106.5,2008
new jersey,103.375,2009
new jersey,107.75,2010
new jersey,107.875,2011
new jersey,106.125,2012
new jersey,109.375,2013
new jersey,105.75,2014
new jersey,106.875,2015
new jersey,105.75,2016
new jersey,105.375,2017
new jersey,107.625,2018
new jersey,100.375,2019
new jersey,95.625,2020
new jersey,127.375,2021
new jersey,123.875,2022
new jersey,124.375,2023
new jersey,124.125,2024
new mexico,29.75,2005
new mexico,29.75,2006
new mexico,25.625,2007
new mexico,20.875,2008
new mexico,17.5,2009
new mexico,18.0,2010
new mexico,18.125,2011
new mexico,17.5,2012
new mexico,16.25,2013
new mexico,17.375,2014
new mexico,15.625,2015
new mexico,16.875,2016
new mexico,18.0,2017
new mexico,17.0,2018
new mexico,16.375,2019
new mexico,16.0,2020
new mexico,20.875,2021
new mexico,22.25,2022
new mexico,23.125,2023
new mexico,23.125,2024
north carolina,147.75,2005
north carolina,140.0,2006
north carolina,126.875,2007
north carolina,101.375,2008
north carolina,96.375,2009
north carolina,94.625,2010
north carolina,91.75,2011
north carolina,91.0,2012
north carolina,94.625,2013
north carolina,98.875,2014
north carolina,105.875,2015
north carolina,110.875,2016
north carolina,114.25,2017
north carolina,114.75,2018
north carolina,113.5,2019
north carolina,115.625,2020
north carolina,160.75,2021
north carolina,154.875,2022
north carolina,158.375,2023
north carolina,152.5,2024
oklahoma,57.375,2005
oklahoma,54.0,2006
oklahoma,51.0,2007
oklahoma,45.75,2008
oklahoma,38.375,2009
oklahoma,39.625,2010
oklahoma,41.25,2011
oklahoma,40.75,2012
oklahoma,40.375,2013
oklahoma,40.5,2014
oklahoma,39.25,2015
oklahoma,39.125,2016
oklahoma,38.375,2017
oklahoma,43.5,2018
oklahoma,41.5,2019
oklahoma,37.625,2020
oklahoma,50.25,2021
oklahoma,48.0,2022
oklahoma,49.125,2023
oklahoma,44.375,2024
oregon,79.875,2005
oregon,75.625,2006
oregon,68.875,2007
oregon,54.0,2008
oregon,48.0,2009
oregon,48.625,2010
oregon,48.75,2011
oregon,48.0,2012
oregon,50.25,2013
oregon,52.625,2014
oregon,57.25,2015
oregon,58.5,2016
oregon,59.25,2017
oregon,61.75,2018
oregon,56.0,2019
oregon,52.25,2020
oregon,66.125,2021
oregon,63.625,2022
oregon,62.75,2023
oregon,71.0,2024
rhode island,17.625,2005
rhode island,16.75,2006
rhode island,13.625,2007
rhode island,12.125,2008
rhode island,10.875,2009
rhode island,11.625,2010
rhode island,11.875,2011
rhode island,11.375,2012
rhode island,10.125,2013
rhode island,11.625,2014
rhode island,12.0,2015
rhode island,11.5,2016
rhode island,12.25,2017
rhode island,13.125,2018
rhode island,11.875,2019
rhode island,12.0,2020
rhode island,15.75,2021
rhode island,14.875,2022
rhode island,15.0,2023
rhode island,15.0,2024
south carolina,71.125,2005
south carolina,65.875,2006
south carolina,58.625,2007
south carolina,46.5,2008
south carolina,41.25,2009
south carolina,41.25,2010
south carolina,40.875,2011
south carolina,41.25,2012
south carolina,43.375,2013
south carolina,46.625,2014
south carolina,47.375,2015
south carolina,47.5,2016
south carolina,51.75,2017
south carolina,52.375,2018
south carolina,50.625,2019
south carolina,51.875,2020
south carolina,75.875,2021
south carolina,72.625,2022
south carolina,72.375,2023
south carolina,68.125,2024
tennessee,79.75,2005
tennessee,78.0,2006
tennessee,71.875,2007
tennessee,57.25,2008
tennessee,54.125,2009
tennessee,55.125,2010
tennessee,53.5,2011
tennessee,51.75,2012
tennessee,53.0,2013
tennessee,54.5,2014
tennessee,55.375,2015
tennessee,56.75,2016
tennessee,58.25,2017
tennessee,61.125,2018
tennessee,60.5,2019
tennessee,62.25,2020
tennessee,83.625,2021
tennessee,82.75,2022
tennessee,84.25,2023
tennessee,80.0,2024
utah,66.0,2005
utah,68.125,2006
utah,60.75,2007
utah,46.25,2008
utah,41.75,2009
utah,41.875,2010
utah,42.75,2011
utah,41.125,2012
utah,42.5,2013
utah,44.75,2014
utah,46.875,2015
utah,49.75,2016
utah,53.125,2017
utah,56.5,2018
utah,56.25,2019
utah,58.25,2020
