State,Year,Imports,Exports
Virginia,2022,"$3,704 ","$1,130 "
Oklahoma,2022,"$1,232 ",$795 
Colorado,2022,"$1,523 ","$1,442 "
New Mexico,2022,"$2,227 ","$3,165 "
Alabama,2022,"$7,901 ","$2,750 "
Rhode Island,2022,"$1,437 ",$150 
Iowa,2022,"$2,100 ","$3,499 "
Maryland,2022,"$4,600 ",$451 
South Carolina,2022,"$5,586 ","$2,373 "
Minnesota,2022,"$3,296 ","$2,797 "
Connecticut,2022,"$3,288 ","$1,137 "
Utah,2022,"$4,578 ","$1,083 "
Missouri,2022,"$4,654 ","$3,376 "
Massachusetts,2022,"$4,519 ","$2,883 "
Wisconsin,2022,"$3,765 ","$3,611 "
Kentucky,2022,"$7,548 ","$3,530 "
Indiana,2022,"$5,286 ","$5,884 "
Pennsylvania,2022,"$6,790 ","$5,246 "
New York,2022,"$3,326 ","$3,217 "
New Jersey,2022,"$7,894 ","$3,406 "
Georgia,2022,"$13,498 ","$4,648 "
Tennessee,2022,"$11,476 ","$4,800 "
Florida,2022,"$9,593 ","$4,035 "
Louisiana,2022,"$4,967 ","$9,149 "
North Carolina,2022,"$10,457 ","$5,233 "
Ohio,2022,"$11,430 ","$7,297 "
Mississippi,2022,"$3,277 ","$2,177 "
Arizona,2022,"$10,867 ","$8,042 "
Illinois,2022,"$18,219 ","$11,543 "
Michigan,2022,"$59,064 ","$11,729 "
California,2022,"$60,241 ","$30,704 "
Texas,2022,"$140,082 ","$144,891 "
Alaska,2023,$99 ,$47 
Montana,2023,$111 ,$61 
Hawaii,2023,$15 ,$3 
Wyoming,2023,$27 ,$67 
South Dakota,2023,$92 ,$509 
Delaware,2023,"$1,223 ",$333 
North Dakota,2023,$205 ,$539 
Vermont,2023,$91 ,$85 
Maine,2023,$111 ,$100 
West Virginia,2023,$161 ,$246 
Idaho,2023,$169 ,$284 
Nevada,2023,"$1,380 ",$853 
Washington,2023,"$1,733 ","$3,511 "
Kansas,2023,"$1,223 ","$2,828 "
Nebraska,2023,$730 ,"$1,458 "
Oregon,2023,$896 ,"$6,568 "
New Hampshire,2023,$487 ,$699 
Arkansas,2023,$912 ,"$1,106 "
Virginia,2023,"$2,769 ","$1,237 "
Oklahoma,2023,"$1,131 ",$629 
Colorado,2023,"$1,227 ","$1,606 "
New Mexico,2023,"$2,465 ","$3,461 "
Alabama,2023,"$8,146 ","$3,184 "
Rhode Island,2023,"$1,435 ",$220 
Iowa,2023,"$2,738 ","$3,241 "
Maryland,2023,"$4,945 ",$525 
South Carolina,2023,"$5,554 ","$3,038 "
Minnesota,2023,"$3,279 ","$3,338 "
Connecticut,2023,"$3,557 ","$1,074 "
Utah,2023,"$4,872 ","$1,351 "
Missouri,2023,"$4,843 ","$3,873 "
Massachusetts,2023,"$4,884 ","$2,737 "
Wisconsin,2023,"$6,021 ","$4,326 "
Kentucky,2023,"$7,892 ","$3,733 "
Indiana,2023,"$5,953 ","$7,178 "
Pennsylvania,2023,"$6,649 ","$5,377 "
New York,2023,"$3,481 ","$3,482 "
New Jersey,2023,"$7,596 ","$3,264 "
Georgia,2023,"$13,732 ","$4,881 "
Tennessee,2023,"$14,044 ","$6,088 "
Florida,2023,"$10,454 ","$4,254 "
Louisiana,2023,"$5,825 ","$7,018 "
North Carolina,2023,"$10,330 ","$5,368 "
Ohio,2023,"$11,382 ","$8,278 "
Mississippi,2023,"$2,877 ","$1,959 "
Arizona,2023,"$11,754 ","$7,979 "
Illinois,2023,"$18,257 ","$12,917 "
Michigan,2023,"$69,022 ","$14,854 "
California,2023,"$61,500 ","$33,254 "
Texas,2023,"$142,733 ","$129,598 "
Alaska,2024,$46 ,$31 
Montana,2024,$115 ,$74 
Hawaii,2024,$13 ,$2 
Wyoming,2024,$38 ,$68 
South Dakota,2024,$102 ,$419 
Delaware,2024,$841 ,$399 
North Dakota,2024,$234 ,$696 
Vermont,2024,$117 ,$68 
Maine,2024,$83 ,$82 
West Virginia,2024,$115 ,$253 
Idaho,2024,$200 ,$305 
Nevada,2024,"$1,571 ",$897 
Washington,2024,"$1,460 ","$4,315 "
Kansas,2024,"$1,388 ","$3,110 "
Nebraska,2024,$847 ,"$1,732 "
Oregon,2024,$840 ,"$6,263 "
New Hampshire,2024,$594 ,$618 
Arkansas,2024,$968 ,"$1,597 "
Virginia,2024,"$3,786 ","$1,309 "
Oklahoma,2024,"$1,102 ",$606 
Colorado,2024,"$1,092 ","$1,736 "
New Mexico,2024,"$2,273 ","$6,959 "
Alabama,2024,"$6,897 ","$4,201 "
Rhode Island,2024,"$1,658 ",$188 
Iowa,2024,"$2,407 ","$3,174 "
Maryland,2024,"$4,800 ",$554 
South Carolina,2024,"$5,678 ","$3,610 "
Minnesota,2024,"$3,071 ","$4,204 "
Connecticut,2024,"$3,605 ","$1,670 "
Utah,2024,"$4,789 ","$1,093 "
Missouri,2024,"$5,025 ","$4,255 "
Massachusetts,2024,"$5,274 ","$3,542 "
Wisconsin,2024,"$5,935 ","$4,358 "
Kentucky,2024,"$9,919 ","$4,153 "
Indiana,2024,"$6,131 ","$7,480 "
Pennsylvania,2024,"$6,695 ","$5,146 "
New York,2024,"$3,529 ","$3,747 "
New Jersey,2024,"$7,020 ","$3,542 "
Georgia,2024,"$18,638 ","$6,366 "
Tennessee,2024,"$14,757 ","$6,711 "
Florida,2024,"$9,928 ","$4,501 "
Louisiana,2024,"$4,586 ","$7,250 "
North Carolina,2024,"$11,579 ","$5,022 "
Ohio,2024,"$11,514 ","$9,559 "
Mississippi,2024,"$2,765 ","$1,644 "
Arizona,2024,"$11,615 ","$8,950 "
Illinois,2024,"$19,335 ","$12,999 "
Michigan,2024,"$75,217 ","$17,081 "
California,2024,"$64,297 ","$33,517 "
Texas,2024,"$157,632 ","$123,525 "
